cluster	cluster_id	synteny	synteny_pos	num_samples	representative	upstream	downstream	feature	feature_alt	gene	gene_alt	product	product_alt	product_clean	name	name_alt	dbxref	dbxref_alt	reference
sugar_phosphotransferase_system_PTS_IIB_component__sugar_phosphotransferase_system_PTSgalactitol-spec	Cluster_1345	1	1345	1	FM211187.1857__FM211187.1859	sugar_phosphotransferase_system_PTS_IIB_component	sugar_phosphotransferase_system_PTSgalactitol-spec	unannotated											FM211187.1857__FM211187.1859
sugar_phosphotransferase_system_PTSgalactitol-spec	Cluster_1346	1	1346	1	FM211187.1859	sugar_phosphotransferase_system_PTS_IIB_component__sugar_phosphotransferase_system_PTSgalactitol-spec	sugar_phosphotransferase_system_PTSgalactitol-spec__Cluster_1348	CDS				sugar phosphotransferase system (PTS),galactitol-specific family, IIC component		sugar_phosphotransferase_system_PTSgalactitol-spec	sugar phosphotransferase system (PTS),galactitol-specific family, IIC component				FM211187.1859
sugar_phosphotransferase_system_PTSgalactitol-spec__Cluster_1348	Cluster_1347	1	1347	1	FM211187.1859__FM211187.1862	sugar_phosphotransferase_system_PTSgalactitol-spec	Cluster_1348	unannotated											FM211187.1859__FM211187.1862
Cluster_1348	Cluster_1348	1	1348	1	FM211187.1862	Cluster_1349	sugar_phosphotransferase_system_PTSgalactitol-spec__Cluster_1348	repeat_region											FM211187.1862
Cluster_1349	Cluster_1349	1	1349	1	FM211187.1863	Cluster_1350	Cluster_1348	repeat_region											FM211187.1863
Cluster_1350	Cluster_1350	1	1350	1	FM211187.1864	Cluster_1351	Cluster_1349	repeat_region											FM211187.1864
Cluster_1351	Cluster_1351	1	1351	1	FM211187.1865	Cluster_1352	Cluster_1350	repeat_region											FM211187.1865
Cluster_1352	Cluster_1352	1	1352	1	FM211187.1866	Cluster_1352__bgaA	Cluster_1351	repeat_region											FM211187.1866
Cluster_1352__bgaA	Cluster_1353	1	1353	1	FM211187.1866__FM211187.1867	Cluster_1352	bgaA	unannotated											FM211187.1866__FM211187.1867
bgaA	Cluster_1354	1	1354	1	FM211187.1867	Cluster_1352__bgaA	bgaA__Cluster_1356	CDS		bgaA		putative surface anchored beta-galactosidase		surface_anchored_beta-galactosidase	putative surface anchored beta-galactosidase				FM211187.1867
bgaA__Cluster_1356	Cluster_1355	1	1355	1	FM211187.1867__FM211187.1881	bgaA	Cluster_1356	unannotated											FM211187.1867__FM211187.1881
Cluster_1356	Cluster_1356	1	1356	1	FM211187.1881	bgaA__Cluster_1356	Cluster_1356__uncharacterized_protein.31	repeat_region											FM211187.1881
Cluster_1356__uncharacterized_protein.31	Cluster_1357	1	1357	1	FM211187.1881__FM211187.1882	Cluster_1356	uncharacterized_protein.31	unannotated											FM211187.1881__FM211187.1882
uncharacterized_protein.31	Cluster_1358	1	1358	1	FM211187.1882	uncharacterized_protein.32	Cluster_1356__uncharacterized_protein.31	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.1882
uncharacterized_protein.32	Cluster_1359	1	1359	1	FM211187.1883	membrane_protein.31__uncharacterized_protein.32	uncharacterized_protein.31	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.1883
membrane_protein.31__uncharacterized_protein.32	Cluster_1360	1	1360	1	FM211187.1883__FM211187.1884	membrane_protein.31	uncharacterized_protein.32	unannotated											FM211187.1883__FM211187.1884
membrane_protein.31	Cluster_1361	1	1361	1	FM211187.1884	membrane_protein.31__Cluster_1363	membrane_protein.31__uncharacterized_protein.32	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.1884
membrane_protein.31__Cluster_1363	Cluster_1362	1	1362	1	FM211187.1884__FM211187.1887	membrane_protein.31	Cluster_1363	unannotated											FM211187.1884__FM211187.1887
Cluster_1363	Cluster_1363	1	1363	1	FM211187.1887	membrane_protein.31__Cluster_1363	rRNA_methylase	CDS											FM211187.1887
rRNA_methylase	Cluster_1364	1	1364	1	FM211187.1888	Cluster_1363	uncharacterized_protein.33	CDS				putative rRNA methylase		rRNA_methylase	putative rRNA methylase				FM211187.1888
uncharacterized_protein.33	Cluster_1365	1	1365	1	FM211187.1890	rRNA_methylase	uncharacterized_protein.33__sodium_hydrogen_exchange_transporter	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.1890
uncharacterized_protein.33__sodium_hydrogen_exchange_transporter	Cluster_1366	1	1366	1	FM211187.1890__FM211187.1891	uncharacterized_protein.33	sodium_hydrogen_exchange_transporter	unannotated											FM211187.1890__FM211187.1891
sodium_hydrogen_exchange_transporter	Cluster_1367	1	1367	1	FM211187.1891	uncharacterized_protein.33__sodium_hydrogen_exchange_transporter	sodium_hydrogen_exchange_transporter__Cluster_1369	CDS				putative sodium hydrogen exchange transporter		sodium_hydrogen_exchange_transporter	putative sodium hydrogen exchange transporter				FM211187.1891
sodium_hydrogen_exchange_transporter__Cluster_1369	Cluster_1368	1	1368	1	FM211187.1891__FM211187.1894	sodium_hydrogen_exchange_transporter	Cluster_1369	unannotated											FM211187.1891__FM211187.1894
Cluster_1369	Cluster_1369	1	1369	1	FM211187.1894	sodium_hydrogen_exchange_transporter__Cluster_1369	Cluster_1370	repeat_region											FM211187.1894
Cluster_1370	Cluster_1370	1	1370	1	FM211187.1895	Cluster_1369	Cluster_1371	repeat_region											FM211187.1895
Cluster_1371	Cluster_1371	1	1371	1	FM211187.1896	Cluster_1370	Cluster_1371__ribonuclease_BN-like_family_protein	repeat_region											FM211187.1896
Cluster_1371__ribonuclease_BN-like_family_protein	Cluster_1372	1	1372	1	FM211187.1896__FM211187.1897	Cluster_1371	ribonuclease_BN-like_family_protein	unannotated											FM211187.1896__FM211187.1897
ribonuclease_BN-like_family_protein	Cluster_1373	1	1373	1	FM211187.1897	Cluster_1371__ribonuclease_BN-like_family_protein	ribonuclease_BN-like_family_protein__ccdA	CDS				ribonuclease BN-like family protein		ribonuclease_BN-like_family_protein	ribonuclease BN-like family protein				FM211187.1897
ribonuclease_BN-like_family_protein__ccdA	Cluster_1374	1	1374	1	FM211187.1897__FM211187.1900	ribonuclease_BN-like_family_protein	ccdA	unannotated											FM211187.1897__FM211187.1900
ccdA	Cluster_1375	1	1375	1	FM211187.1900	ribonuclease_BN-like_family_protein__ccdA	ccdA__redoxin	CDS		ccdA		cytochrome c-type biogenesis protein CcdA		cytochrome_c-type_biogenesis_protein_CcdA	cytochrome c-type biogenesis protein CcdA				FM211187.1900
ccdA__redoxin	Cluster_1376	1	1376	1	FM211187.1900__FM211187.1904	ccdA	redoxin	unannotated											FM211187.1900__FM211187.1904
redoxin	Cluster_1377	1	1377	1	FM211187.1904	ccdA__redoxin	redoxin__msrAB.1	CDS				putative redoxin		redoxin	putative redoxin				FM211187.1904
redoxin__msrAB.1	Cluster_1378	1	1378	1	FM211187.1904__FM211187.1907	redoxin	msrAB.1	unannotated											FM211187.1904__FM211187.1907
msrAB.1	Cluster_1379	1	1379	1	FM211187.1907	redoxin__msrAB.1	Cluster_1380	CDS		msrAB		peptide methionine sulfoxide reductase		peptide_methionine_sulfoxide_reductase	peptide methionine sulfoxide reductase				FM211187.1907
Cluster_1380	Cluster_1380	1	1380	1	FM211187.1912	msrAB.1	Cluster_1381	repeat_region											FM211187.1912
Cluster_1381	Cluster_1381	1	1381	1	FM211187.1913	Cluster_1380	Cluster_1382	repeat_region											FM211187.1913
Cluster_1382	Cluster_1382	1	1382	1	FM211187.1914	Cluster_1381	Cluster_1383	repeat_region											FM211187.1914
Cluster_1383	Cluster_1383	1	1383	1	FM211187.1915	Cluster_1382	Cluster_1384	repeat_region											FM211187.1915
Cluster_1384	Cluster_1384	1	1384	1	FM211187.1916	Cluster_1383	Cluster_1385	repeat_region											FM211187.1916
Cluster_1385	Cluster_1385	1	1385	1	FM211187.1917	Cluster_1384	Cluster_1385__response_regulator_protein.4	repeat_region											FM211187.1917
Cluster_1385__response_regulator_protein.4	Cluster_1386	1	1386	1	FM211187.1917__FM211187.1918	Cluster_1385	response_regulator_protein.4	unannotated											FM211187.1917__FM211187.1918
response_regulator_protein.4	Cluster_1387	1	1387	1	FM211187.1918	Cluster_1385__response_regulator_protein.4	sensor_histidine_kinase.2	CDS				response regulator protein		response_regulator_protein	response regulator protein				FM211187.1918
sensor_histidine_kinase.2	Cluster_1388	1	1388	1	FM211187.1923	response_regulator_protein.4	sensor_histidine_kinase.2__conserved_protein.30	CDS				sensor histidine kinase		sensor_histidine_kinase	sensor histidine kinase				FM211187.1923
sensor_histidine_kinase.2__conserved_protein.30	Cluster_1389	1	1389	1	FM211187.1923__FM211187.1930	sensor_histidine_kinase.2	conserved_protein.30	unannotated											FM211187.1923__FM211187.1930
conserved_protein.30	Cluster_1390	1	1390	1	FM211187.1930	sensor_histidine_kinase.2__conserved_protein.30	conserved_protein.30__zmpB	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.1930
conserved_protein.30__zmpB	Cluster_1391	1	1391	1	FM211187.1930__FM211187.1932	conserved_protein.30	zmpB	unannotated											FM211187.1930__FM211187.1932
zmpB	Cluster_1392	1	1392	1	FM211187.1932	conserved_protein.30__zmpB	zmpB__pabB	CDS		zmpB		putative zinc metalloproteinase ZmpB		zinc_metalloproteinase_ZmpB	putative zinc metalloproteinase ZmpB				FM211187.1932
zmpB__pabB	Cluster_1393	1	1393	1	FM211187.1932__FM211187.1941	zmpB	pabB	unannotated											FM211187.1932__FM211187.1941
pabB	Cluster_1394	1	1394	1	FM211187.1941	zmpB__pabB	pabB__pneumococcal_surface_protein	CDS		pabB		putative chorismate binding enzyme		chorismate_binding_enzyme	putative chorismate binding enzyme				FM211187.1941
pabB__pneumococcal_surface_protein	Cluster_1395	1	1395	1	FM211187.1941__FM211187.1943	pabB	pneumococcal_surface_protein	unannotated											FM211187.1941__FM211187.1943
pneumococcal_surface_protein	Cluster_1396	1	1396	1	FM211187.1943	pabB__pneumococcal_surface_protein	pneumococcal_surface_protein__protein.12	CDS				putative pneumococcal surface protein		pneumococcal_surface_protein	putative pneumococcal surface protein				FM211187.1943
pneumococcal_surface_protein__protein.12	Cluster_1397	1	1397	1	FM211187.1943__FM211187.1946	pneumococcal_surface_protein	protein.12	unannotated											FM211187.1943__FM211187.1946
protein.12	Cluster_1398	1	1398	1	FM211187.1946	pneumococcal_surface_protein__protein.12	protein.12__glkA	CDS				hypothetical protein		protein	hypothetical protein				FM211187.1946
protein.12__glkA	Cluster_1399	1	1399	1	FM211187.1946__FM211187.1948	protein.12	glkA	unannotated											FM211187.1946__FM211187.1948
glkA	Cluster_1400	1	1400	1	FM211187.1948	protein.12__glkA	glkA__thyA	CDS		glkA		glucokinase		glucokinase	glucokinase				FM211187.1948
glkA__thyA	Cluster_1401	1	1401	1	FM211187.1948__FM211187.1951	glkA	thyA	unannotated											FM211187.1948__FM211187.1951
thyA	Cluster_1402	1	1402	1	FM211187.1951	glkA__thyA	thyA__exported_protein.3	CDS		thyA		thymidylate synthase		thymidylate_synthase	thymidylate synthase				FM211187.1951
thyA__exported_protein.3	Cluster_1403	1	1403	1	FM211187.1951__FM211187.1953	thyA	exported_protein.3	unannotated											FM211187.1951__FM211187.1953
exported_protein.3	Cluster_1404	1	1404	1	FM211187.1953	exported_protein.3__miaA	thyA__exported_protein.3	CDS				putative exported protein		exported_protein	putative exported protein				FM211187.1953
exported_protein.3__miaA	Cluster_1405	1	1405	1	FM211187.1953__FM211187.1956	exported_protein.3	miaA	unannotated											FM211187.1953__FM211187.1956
miaA	Cluster_1406	1	1406	1	FM211187.1956	exported_protein.3__miaA	GTPase	CDS		miaA		tRNA delta(2)-isopentenylpyrophosphate transferase		tRNA_delta2-isopentenylpyrophosphate_transferase	tRNA delta(2)-isopentenylpyrophosphate transferase				FM211187.1956
GTPase	Cluster_1407	1	1407	1	FM211187.1959	miaA	conserved_protein.31	CDS				putative GTPase		GTPase	putative GTPase				FM211187.1959
conserved_protein.31	Cluster_1408	1	1408	1	FM211187.1962	GTPase	conserved_protein.31__rnz	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.1962
conserved_protein.31__rnz	Cluster_1409	1	1409	1	FM211187.1962__FM211187.1963	conserved_protein.31	rnz	unannotated											FM211187.1962__FM211187.1963
rnz	Cluster_1410	1	1410	1	FM211187.1963	conserved_protein.31__rnz	rnz__short_chain_dehydrogenase.1	CDS		rnz		ribonuclease Z		ribonuclease_Z	ribonuclease Z				FM211187.1963
rnz__short_chain_dehydrogenase.1	Cluster_1411	1	1411	1	FM211187.1963__FM211187.1965	rnz	short_chain_dehydrogenase.1	unannotated											FM211187.1963__FM211187.1965
short_chain_dehydrogenase.1	Cluster_1412	1	1412	1	FM211187.1965	rnz__short_chain_dehydrogenase.1	short_chain_dehydrogenase.1__LysR_family_regulatory_protein	CDS				short chain dehydrogenase		short_chain_dehydrogenase	short chain dehydrogenase				FM211187.1965
short_chain_dehydrogenase.1__LysR_family_regulatory_protein	Cluster_1413	1	1413	1	FM211187.1965__FM211187.1969	short_chain_dehydrogenase.1	LysR_family_regulatory_protein	unannotated											FM211187.1965__FM211187.1969
LysR_family_regulatory_protein	Cluster_1414	1	1414	1	FM211187.1969	LysR_family_regulatory_protein__conserved_protein.32	short_chain_dehydrogenase.1__LysR_family_regulatory_protein	CDS				LysR family regulatory protein		LysR_family_regulatory_protein	LysR family regulatory protein				FM211187.1969
LysR_family_regulatory_protein__conserved_protein.32	Cluster_1415	1	1415	1	FM211187.1969__FM211187.1973	LysR_family_regulatory_protein	conserved_protein.32	unannotated											FM211187.1969__FM211187.1973
conserved_protein.32	Cluster_1416	1	1416	1	FM211187.1973	LysR_family_regulatory_protein__conserved_protein.32	membrane_protein.32	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.1973
membrane_protein.32	Cluster_1417	1	1417	1	FM211187.1975	conserved_protein.32	membrane_protein.32__ribosomal_small_subunit_pseudouridine_synthase_A	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.1975
membrane_protein.32__ribosomal_small_subunit_pseudouridine_synthase_A	Cluster_1418	1	1418	1	FM211187.1975__FM211187.1978	membrane_protein.32	ribosomal_small_subunit_pseudouridine_synthase_A	unannotated											FM211187.1975__FM211187.1978
ribosomal_small_subunit_pseudouridine_synthase_A	Cluster_1419	1	1419	1	FM211187.1978	ribosomal_small_subunit_pseudouridine_synthase_A__BipA_family_GTPase	membrane_protein.32__ribosomal_small_subunit_pseudouridine_synthase_A	CDS				putative ribosomal small subunit pseudouridine synthase A		ribosomal_small_subunit_pseudouridine_synthase_A	putative ribosomal small subunit pseudouridine synthase A				FM211187.1978
ribosomal_small_subunit_pseudouridine_synthase_A__BipA_family_GTPase	Cluster_1420	1	1420	1	FM211187.1978__FM211187.1982	ribosomal_small_subunit_pseudouridine_synthase_A	BipA_family_GTPase	unannotated											FM211187.1978__FM211187.1982
BipA_family_GTPase	Cluster_1421	1	1421	1	FM211187.1982	ribosomal_small_subunit_pseudouridine_synthase_A__BipA_family_GTPase	BipA_family_GTPase__membrane_protein.33	CDS				BipA family GTPase		BipA_family_GTPase	BipA family GTPase				FM211187.1982
BipA_family_GTPase__membrane_protein.33	Cluster_1422	1	1422	1	FM211187.1982__FM211187.1988	BipA_family_GTPase	membrane_protein.33	unannotated											FM211187.1982__FM211187.1988
membrane_protein.33	Cluster_1423	1	1423	1	FM211187.1988	BipA_family_GTPase__membrane_protein.33	membrane_protein.33__uncharacterized_protein.34	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.1988
membrane_protein.33__uncharacterized_protein.34	Cluster_1424	1	1424	1	FM211187.1988__FM211187.1991	membrane_protein.33	uncharacterized_protein.34	unannotated											FM211187.1988__FM211187.1991
uncharacterized_protein.34	Cluster_1425	1	1425	1	FM211187.1991	membrane_protein.33__uncharacterized_protein.34	uncharacterized_protein.34__membrane_protein.34	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.1991
uncharacterized_protein.34__membrane_protein.34	Cluster_1426	1	1426	1	FM211187.1991__FM211187.1993	uncharacterized_protein.34	membrane_protein.34	unannotated											FM211187.1991__FM211187.1993
membrane_protein.34	Cluster_1427	1	1427	1	FM211187.1993	uncharacterized_protein.34__membrane_protein.34	membrane_protein.34__membrane_protein.35	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.1993
membrane_protein.34__membrane_protein.35	Cluster_1428	1	1428	1	FM211187.1993__FM211187.1996	membrane_protein.34	membrane_protein.35	unannotated											FM211187.1993__FM211187.1996
membrane_protein.35	Cluster_1429	1	1429	1	FM211187.1996	membrane_protein.34__membrane_protein.35	membrane_protein.35__ABC_transporter_ATP-binding_protein.7	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.1996
